base_id,n,mode,kind,step_fraction,step,status,gap,curvature,H_mid,H_minus,H_plus,min_probability,normalization_residual,mobius_max_error,finite_difference_curvature,min_diagonal_separation,min_cross_block_bridge,min_supported_edge,exact_margin_mid,exact_margin_minus,exact_margin_plus,error
n11_09,11,0,CHORD,0.8,0.056397403544933195,NO_SIGNAL,-0.00045455641185032647,-0.27289733216356477,7.588725983188502,7.588930050666383,7.587612802886921,0.0001914694756439361,1.1102230246251565e-16,,,0.008819884200999994,0.092962784202,0.034968810379,0.115,0.118492,0.110136,
n11_10,11,1,BASE,,,NO_SIGNAL,,-0.8870895799960393,7.44675590741898,,,3.795164331456191e-05,1.1102230246251565e-16,,-0.8870896905932568,0.014027241445999983,0.190497070331,0.12966499295,0.03,,,
n11_10,11,1,CHORD,0.15,0.024759865203036305,NO_SIGNAL,-0.00027252641437414127,-0.8870895799960393,7.44675590741898,7.446175131854181,7.446791630155031,3.6490113097164905e-05,1.1102230246251565e-16,,,0.013855986990000013,0.190484743804,0.113965244008,0.03,0.028812,0.031025,
n11_10,11,1,CHORD,0.4,0.06602630720809681,NO_SIGNAL,-0.001964601143910727,-0.8870895799960393,7.44675590741898,7.4437176682465065,7.445864944303633,3.336671438343468e-05,1.1102230246251565e-16,,,0.013570562896000005,0.190464199593,0.087798995771,0.03,0.026427,0.032414,
n11_10,11,1,CHORD,0.8,0.13205261441619362,NO_SIGNAL,-0.008235390828656541,-0.8870895799960393,7.44675590741898,7.434601298979318,7.442439734201329,2.657670781081379e-05,2.220446049250313e-16,,,0.013113884347000004,0.190431328855,0.045932998592,0.03,0.021349,0.03389,
n11_11,11,2,BASE,,,NO_SIGNAL,,-1.0667763466357474,7.368026795120339,,,1.2699470317576707e-06,1.1102230246251565e-16,,-1.0667763561400534,0.015304782562999997,0.20662595683,0.141664589893,0.0025,,,
n11_11,11,2,CHORD,0.15,0.025324983910367527,NO_SIGNAL,-0.0003429650181265842,-1.0667763466357474,7.368026795120339,7.366755329352643,7.368612330851782,1.2378413984802796e-06,3.3306690738754696e-16,,,0.015303791321000015,0.206483536224,0.124164901409,0.0025,0.002455,0.00253,
n11_11,11,2,CHORD,0.4,0.06753329042764675,NO_SIGNAL,-0.0024770066242645328,-1.0667763466357474,7.368026795120339,7.362656835902836,7.3684427410893125,1.1556361354110838e-06,2.220446049250313e-16,,,0.015302139249999958,0.206228453804,0.094998753937,0.0025,0.002345,0.002548,
n11_11,11,2,CHORD,0.8,0.1350665808552935,NO_SIGNAL,-0.01044994830134538,-1.0667763466357474,7.368026795120339,7.348856567077421,7.366297126560566,9.503026074312623e-07,1.1102230246251565e-16,,,0.01508645379000001,0.205820321932,0.04833291798,0.0025,0.00206,0.00249,
n12_00,12,0,BASE,,,NO_SIGNAL,,-0.3445105729409253,8.271571427599342,,,0.00010446836213990658,3.3306690738754696e-16,,-0.34451055341833126,0.00876932669500008,0.083577641338,0.083577641338,0.114999,,,
n12_00,12,0,CHORD,0.15,0.012426514220365255,NO_SIGNAL,-2.6648710045762414e-05,-0.3445105729409253,8.271571427599342,8.271385342913279,8.271704214865313,0.00010361779311156806,3.3306690738754696e-16,,,0.008769322798000023,0.074790995138,0.074790995138,0.114999,0.114323,0.115606,
n12_00,12,0,CHORD,0.4,0.033137371254307345,NO_SIGNAL,-0.00019164717484265736,-0.3445105729409253,8.271571427599342,8.270924209911438,8.27183535093756,0.00010240572160661372,3.3306690738754696e-16,,,0.008769316304999997,0.060146584804,0.060146584804,0.114999,0.113023,0.116479,
n12_00,12,0,CHORD,0.8,0.06627474250861469,NO_SIGNAL,-0.0007965811091690256,-0.3445105729409253,8.271571427599342,8.26965127790901,8.271898415071337,0.00010100081792357871,3.3306690738754696e-16,,,0.008769305913999936,0.036715528269,0.036715528269,0.114999,0.110419,0.117567,
n12_01,12,1,BASE,,,NO_SIGNAL,,-0.7298817275776028,8.148800681786259,,,1.9678005952773583e-05,2.220446049250313e-16,,-0.7298815773992828,0.013223347592000056,0.144839710701,0.12147940362,0.03,,,
n12_01,12,1,CHORD,0.15,0.02133988251911754,NO_SIGNAL,-0.00016657211118698,-0.7298817275776028,8.148800681786259,8.148107428605172,8.149160790744972,1.9390819533983054e-05,2.220446049250313e-16,,,0.013223347183999978,0.144789260286,0.107559237165,0.03,0.029987,0.030009,
n12_01,12,1,CHORD,0.4,0.05690635338431345,NO_SIGNAL,-0.0012011219895136094,-0.7298817275776028,8.148800681786259,8.145997751139348,8.149201368454142,1.880086512226133e-05,2.220446049250313e-16,,,0.013223346503999922,0.144705176262,0.083277108587,0.03,0.029959,0.030019,
n12_01,12,1,CHORD,0.8,0.1138127067686269,NO_SIGNAL,-0.005038148279069787,-0.7298817275776028,8.148800681786259,8.139175956942314,8.148349110072065,1.756559373394006e-05,2.220446049250313e-16,,,0.01322334541499992,0.144570641823,0.044425702864,0.03,0.029886,0.030025,
n12_02,12,2,BASE,,,NO_SIGNAL,,-0.9675719806211835,8.064723840036606,,,1.220034269687524e-06,0.0,,-0.9675723333657515,0.014725477414999966,0.146123502005,0.136593683959,0.002499,,,
