index,n,mode,margin,entropy,min_atom,normalization_residual,lambda_max_coordinate,lambda_max,fisher_along_top,acceleration_along_top,fisher_max_eigenvalue,acceleration_max_eigenvalue,mechanism_ratio,mechanism_fisher,mechanism_acceleration,mechanism_total,mechanism_rank,direction_rank,direction_singular_1,direction_singular_2,step,gap,endpoint_margin,status
52,3,0,0.09403452643120472,1.6298377213782271,0.011120221021290401,2.220446049250313e-16,-0.0669535846956636,-0.06695021825481988,-0.04462080509367063,-0.022329413161149336,-0.04462300016189428,0.2857354045981753,0.042103399058350206,-1.0000000000000002,0.04210339905835021,-0.95789660094165,3,3,0.9999999999999999,0.9999496767708271,0.08513686196656238,-0.0007829923318967147,0.0903031869188177,NO_HIT
53,3,1,0.002335026635039832,0.6971804244212835,1.5074185232990232e-05,0.0,-0.3482244928237293,-0.34695873257917587,-0.23466724514150136,-0.11229148743767543,-0.23546180852667065,1.391114547474754,0.05877099717251497,-0.9999999999999994,0.05877099717251494,-0.9412290028274846,3,3,0.9999999999999999,0.9963553858143185,0.003155753961564915,-1.743201141990447e-06,0.0019154819644656507,NO_HIT
54,3,2,0.039999999999999813,1.76573745728507,0.019199999999999974,0.0,-3.9252683245466544,-2.943728688925763,-2.607613853292116,-0.336114835633647,-2.205922309365165,4.232700599087877,0.29048443213901004,-1.0000000000000018,0.29048443213901054,-0.7095155678609912,3,3,0.9999999999999996,0.42776288375919985,0.04560879003520942,-0.003076987284080124,0.034228136588953406,NO_HIT
55,3,3,0.14057675813172815,1.9793037170014496,0.05669651057924953,1.1102230246251565e-16,-0.6902701583279836,-0.6806144504722393,-0.4585158042533241,-0.22209864621891473,-0.46386139970954127,1.136953667801597,0.19984864783795764,-0.9999999999999991,0.19984864783795747,-0.8001513521620416,3,3,0.9999999999999999,0.9856765369968316,0.06861144444974997,-0.0017752304690104026,0.13449079350443244,NO_HIT
56,3,0,0.14033612017074681,1.7291318639944424,0.017258847783143797,2.220446049250313e-16,-0.09340109029284499,-0.09338680874257527,-0.06219387333995588,-0.03119293540261925,-0.062203076600864805,0.4176749773978958,0.0740772926595631,-0.999999999999999,0.07407729265956303,-0.9259227073404359,3,3,0.9999999999999998,0.9998464347896613,0.06725594817166204,-0.00048766786584208965,0.12661362287501288,NO_HIT
57,3,1,0.023831122606614352,1.0529409122889428,0.0011128335023683524,0.0,-0.8140540579946182,-0.8101700336892788,-0.5366459323283067,-0.2735241013609717,-0.539065474756127,1.2463366539589718,0.10377991376456071,-0.999999999999999,0.10377991376456061,-0.8962200862354384,3,3,1.0000000000000002,0.9951607946479287,0.01769889167525311,-0.00013040270864284054,0.01982971563252489,NO_HIT
58,3,2,0.039999999999999813,1.7114815758677997,0.01278845369854658,2.220446049250313e-16,-3.7670856564809703,-3.463519301055418,-2.3989125399051705,-1.064606761150242,-2.054224804330248,3.685211756707981,0.3135259161130174,-0.9999999999999991,0.3135259161130171,-0.6864740838869821,3,3,0.9999999999999997,0.8267876017728741,0.03227904718980539,-0.0018217791807875194,0.03574773769563139,NO_HIT
59,3,3,0.13204829079475855,1.9644800617442129,0.04154669507500116,0.0,-1.2242889251402966,-1.1946170815667525,-0.7841859619962512,-0.4104311195705006,-0.799874437334297,0.990802654780244,0.1819887779747344,-1.0000000000000009,0.18198877797473456,-0.8180112220252663,3,3,1.0,0.9729532513768222,0.06062950339221315,-0.002299323976321599,0.11438208739454059,NO_HIT
60,3,0,0.18307352969712454,1.8558412198363612,0.03688646316328228,2.220446049250313e-16,-0.16911351032895827,-0.16863080052339188,-0.11251575776420812,-0.05611504275918522,-0.11283630514878222,0.14668245501541083,0.029963386213466947,-1.0000000000000002,0.029963386213466954,-0.9700366137865333,3,3,0.9999999999999999,0.9971398698311345,0.04981583380141699,-0.0002915519652089138,0.16371180298420862,NO_HIT
61,3,1,0.02001195336952537,1.4390803776772376,0.001099002631775568,2.220446049250313e-16,-2.127003857142336,-2.126914015047541,-1.5078876102630536,-0.6190264047844898,-1.4902796994356413,3.56104740163539,0.2538398921579965,-0.9999999999999983,0.25383989215799607,-0.7461601078420023,3,3,1.0000000000000004,0.9987450557992695,0.005423180242160758,-3.1622793033481145e-05,0.016656074394711944,NO_HIT
