index,mode,margin,label,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,status
569,1,0.04089509573122545,two_edge_clusters,0.4988157646464985,0.4988157646464985,True,-0.5011842353535014,2.7001628673048466e-07,0.0,4.280008056720062e-16,0.5131510214373947,1.0,0.004860869000772386,-0.00047353649985204527,NO_HIT
570,2,0.019954594969870246,logit_spread,0.4118292980780538,0.4118292980780538,True,-0.5881707019219462,1.3638630413951213e-07,-5.551115123125783e-16,2.5140049365221587e-16,0.3765454599897226,1.0,0.0021746509835990093,-8.534322204845068e-05,NO_HIT
571,3,0.024653581081094833,five_spectral_clusters,0.48359464627519433,0.48359464627519433,True,-0.5164053537248057,6.1479544922167745e-12,0.0,1.1130050862984363e-16,0.202883460776913,1.0,0.006004417550141399,-0.0004947522462410703,NO_HIT
572,0,0.01,frozen_logit_neighborhood,0.5050600880775291,0.5050600880775291,True,-0.4949399119224709,8.48674934013658e-11,0.0,4.420694414862293e-16,0.30264359009986,1.0,0.0019933834554116563,-5.7657310034819886e-05,NO_HIT
573,1,0.03378929535540287,two_edge_clusters,0.5091010283457715,0.5091010283457715,True,-0.49089897165422847,7.731348085714326e-08,0.0,1.9217883794485455e-16,0.42413742919444486,1.0,0.004913310480526165,-0.0004044026054934591,NO_HIT
574,2,0.012657195341566063,logit_spread,0.48230605062817944,0.48230605062817944,True,-0.5176939493718206,1.252998750606985e-10,-2.220446049250313e-16,5.218984114377403e-16,0.29749210138221205,1.0,0.0026680314979278075,-9.921112427146994e-05,NO_HIT
575,3,0.010000000000000009,five_spectral_clusters,0.5045597697330747,0.5045597697330747,True,-0.4954402302669253,3.599315744078925e-10,2.220446049250313e-16,4.960810238626249e-16,0.3272221788206906,1.0,0.003056027570025977,-0.0001637563628476002,NO_HIT
576,0,0.010000000000000009,frozen_logit_neighborhood,0.5106639741002141,0.5106639741002141,True,-0.48933602589978586,5.013987751506974e-12,0.0,2.7990280446720207e-16,0.2660899150218183,1.0,0.0024777801070965362,-8.968875738357696e-05,NO_HIT
577,1,0.021569979327110966,two_edge_clusters,0.4994161547315816,0.4994161547315816,True,-0.5005838452684184,2.1121460196637804e-08,2.220446049250313e-16,2.182709508892913e-16,0.3473317146783779,1.0,0.0037652359434071,-0.00026330462857515613,NO_HIT
578,2,0.027550499705123355,logit_spread,0.45578120653637194,0.45578120653637194,True,-0.544218793463628,1.2626581196255977e-07,-1.1102230246251565e-16,2.1478534042682869e-16,0.42963837095740687,1.0,0.003972279237366003,-0.0003037911580614505,NO_HIT
579,3,0.020538329151917487,five_spectral_clusters,0.4254971011483819,0.4254971011483819,True,-0.5745028988516181,1.394717286615908e-09,0.0,2.02772316351921e-16,0.3376196726940901,1.0,0.004623126553785279,-0.0002458376228524628,NO_HIT
