id,n,gamma,proposal,c,kind,status,reason,rank,eigenvalue_ratio,step,Delta_E,Delta_A,Delta_B,I_minus,I_0,I_plus,MI_bump,marginal_deficit_sum,bump_to_deficit_ratio,information_identity_residual,geometry_term,KL_cost,JS_cost,geometry_identity_residual,curvature_E,curvature_A,curvature_B,curvature_I,min_probability,normalization_residual,mobius_max_error,marginal_kernel_max_error,quadratic_event_max_error,cross_norm_min,second_cross_singular_lower_bound,margin_min,direction_norm_A,direction_norm_B,direction_norm_X
n8_g2_p02,8,5/2,2,2,CHORD,NO_SIGNAL,,2,0.469709712868975,16869/500000,-0.0021852677962348466,-0.0007437683456550381,-0.0008087866762247486,0.010377226758341787,0.01183305667192876,0.014554312134227735,-0.000632712774356,0.0015525550218797868,-0.4075300169329461,9.402201239794294e-16,-0.00026958598519796295,3.595226355257907e-06,0.0019120865846824486,8.23126289350995e-16,-3.8119090329899743,-1.3055096929515668,-1.4201071407500154,1.0862921992883923,0.0005874752738798135,2.220446049250313e-16,,4.163336342344337e-17,1.8214596497756474e-17,0.3234675382496981,0.18632513750760415,0.027934,0.9678443149811333,0.9735048171582462,1.1082023943277985
n8_g2_p02,8,5/2,2,2,CHORD,NO_SIGNAL,,2,0.469709712868975,11471/200000,-0.006421254806564747,-0.0021537594976517305,-0.0023405287692863652,0.01000275363227373,0.01183305667192876,0.017517292790838017,-0.0019269665396271125,0.004494288266938096,-0.428758999239702,4.614364446098307e-16,-0.0007791143644415052,3.0166764294050773e-05,0.005611973677829951,7.606762442158299e-16,-3.8119090329899743,-1.3055096929515668,-1.4201071407500154,1.0862921992883923,0.0002509238735793587,0.0,4.2457357074532354e-16,4.163336342344337e-17,1.5612511283791264e-17,0.31929406736627486,0.1612432618812438,0.012205,0.9678443149811333,0.9735048171582462,1.1082023943277985
n8_g2_p03,8,5/2,3,1/2,DIRECTION,ACCEPTED,,2,0.47394935806872895,,,,,,,,,,,,,,,,-0.7119576486868338,-0.16918058960822435,-0.31244844965246177,0.23032860942614763,,,,,,,,,0.264852056861404,0.6145455661516813,0.5738154427924174
n8_g2_p03,8,5/2,3,1/2,CHORD,NO_SIGNAL,,2,0.47394935806872895,42811/1000000,-0.0006540807969814821,-0.00015505011923755418,-0.00028662411115476516,0.011473607961004837,0.01183305667192876,0.012617318516032053,-0.0002124065665896832,0.00044167423039231934,-0.48091229230424426,5.204170427930421e-16,-9.553211433385768e-05,8.834081038720773e-07,0.000557665274543595,-1.573177352276467e-16,-0.7119576486868338,-0.16918058960822435,-0.31244844965246177,0.23032860942614763,0.0009087582746481798,1.1102230246251565e-16,,4.163336342344337e-17,1.9081958235744878e-17,0.3317382837632271,0.19769505203223117,0.03926,0.264852056861404,0.6145455661516813,0.5738154427924174
n8_g2_p03,8,5/2,3,1/2,CHORD,NO_SIGNAL,,2,0.47394935806872895,107029/1000000,-0.004142947997543445,-0.000969569469953413,-0.0018012937946148,0.011870442952237216,0.01183305667192876,0.014539839857570232,-0.0013720847329749646,0.002770863264568213,-0.4951831259666212,-2.671474153004283e-16,-0.0005970924508439124,3.455890869600703e-05,0.003511296638004424,8.98586760555986e-16,-0.7119576486868338,-0.16918058960822435,-0.31244844965246177,0.23032860942614763,0.0008183845588402281,2.220446049250313e-16,,4.163336342344337e-17,1.3010426069826053e-17,0.33171666163589797,0.16100310073695845,0.038998,0.264852056861404,0.6145455661516813,0.5738154427924174
n8_g2_p03,8,5/2,3,1/2,CHORD,NO_SIGNAL,,2,0.47394935806872895,3639/20000,-0.01234346526185437,-0.0028052076900055845,-0.005270230106150464,0.014210395477808963,0.01183305667192876,0.01799177279744891,-0.004268027465700177,0.008075437796156049,-0.5285196386172129,1.8561541192951836e-15,-0.0017256104604910492,0.00028962496720368947,0.010328229834160041,4.0939474033052647e-16,-0.7119576486868338,-0.16918058960822435,-0.31244844965246177,0.23032860942614763,0.0006776965229986132,2.220446049250313e-16,2.957703526540456e-16,4.163336342344337e-17,1.5612511283791264e-17,0.33171666163589797,0.11819582422580693,0.035009,0.264852056861404,0.6145455661516813,0.5738154427924174
n8_g2_p04,8,5/2,4,1,DIRECTION,ACCEPTED,,2,1.0,,,,,,,,,,,,,,,,-1.1637172050980311,-0.5507272575556227,-0.22880731070965987,0.38418263683274856,,,,,,,,,0.8994418560302913,0.5519329321329235,0.6641782518959504
n8_g2_p04,8,5/2,4,1,CHORD,NO_SIGNAL,,2,1.0,25103/1000000,-0.00036712407691652515,-0.00017364287787868804,-7.210612117436455e-05,0.01194103965704514,0.01183305667192876,0.011967823842540082,-0.00012137507786385074,0.0002457489990530526,-0.49389856451723796,3.7816971776294395e-16,-8.214892553667924e-05,3.972274764118896e-07,0.00028457792390312875,-3.0531133177191805e-16,-1.1637172050980311,-0.5507272575556227,-0.22880731070965987,0.38418263683274856,0.000901851635726454,0.0,,4.163336342344337e-17,1.214306433183765e-17,0.33251859831391467,0.20773701326793556,0.036295,0.8994418560302913,0.5519329321329235,0.6641782518959504
n8_g2_p04,8,5/2,4,1,CHORD,NO_SIGNAL,,2,1.0,31379/500000,-0.0023097811916574784,-0.0010892160992339583,-0.00045111212808901513,0.012535270099831125,0.01183305667192876,0.01266974917269461,-0.000769452964334106,0.0015403282273229735,-0.49953831312393937,-3.9898639947466563e-16,-0.0005134389658219924,1.5553850783742087e-05,0.0017807883750515785,-1.6566609195578508e-16,-1.1637172050980311,-0.5507272575556227,-0.22880731070965987,0.38418263683274856,0.0007954924963192084,2.220446049250313e-16,,4.163336342344337e-17,1.5612511283791264e-17,0.33251859831391467,0.18610857368237352,0.031211,0.8994418560302913,0.5519329321329235,0.6641782518959504
n8_g2_p04,8,5/2,4,1,CHORD,NO_SIGNAL,,2,1.0,106689/1000000,-0.006776844364572376,-0.0031735536366097605,-0.001306605625857049,0.013883763011629451,0.01183305667192876,0.014375720536439292,-0.002296685102105612,0.00448015926246681,-0.5126347005889785,4.5102810375396984e-17,-0.001483849737748284,0.00013063888266541112,0.0051623557441589085,2.2724877535296173e-16,-1.1637172050980311,-0.5507272575556227,-0.22880731070965987,0.38418263683274856,0.0006407028115208604,2.220446049250313e-16,2.5890747878953846e-16,4.163336342344337e-17,1.734723475976807e-17,0.33251859831391467,0.1608752984351732,0.024547,0.8994418560302913,0.5519329321329235,0.6641782518959504
