example,s,r,eig_min,eig_max,feasible,hessian,fisher,acceleration,min_event_probability
canonical_n5,0.002,0.4,0.00044362609240856363,0.9989721581354638,True,-0.0870961729680198,-0.0,-0.0870961729680198,4.738208268281112e-10
canonical_n5,0.002,0.6,0.00044362609240856363,0.9989721581354638,True,-0.17600007681220647,-0.0,-0.17600007681220647,4.738208268281112e-10
canonical_n5,0.002,0.8,0.00044362609240856363,0.9989721581354638,True,-0.3035961566638181,-0.0,-0.3035961566638181,4.738208268281112e-10
canonical_n5,0.002,1.0,0.00044362609240856363,0.9989721581354638,True,-0.4698844125228883,-0.0,-0.4698844125228883,4.738208268281112e-10
canonical_n5,0.005,0.0,0.0009393550725862513,0.9976580487602522,True,-0.06502589571406026,-0.0,-0.06502589571406026,5.307320683426546e-09
canonical_n5,0.005,0.0001,0.0009393550725862513,0.9976580487602522,True,-0.06501481744172877,-0.0,-0.06501481744172877,5.307320683426546e-09
canonical_n5,0.005,0.0005,0.0009393550725862513,0.9976580487602522,True,-0.06497059293167973,-0.0,-0.06497059293167973,5.307320683426546e-09
canonical_n5,0.005,0.001,0.0009393550725862513,0.9976580487602522,True,-0.06491551159754894,-0.0,-0.06491551159754894,5.307320683426546e-09
canonical_n5,0.005,0.002,0.0009393550725862513,0.9976580487602522,True,-0.06480601327390045,-0.0,-0.06480601327390045,5.307320683426546e-09
canonical_n5,0.005,0.005,0.0009393550725862513,0.9976580487602522,True,-0.06448283306001501,-0.0,-0.06448283306001501,5.307320683426546e-09
canonical_n5,0.005,0.01,0.0009393550725862513,0.9976580487602522,True,-0.06396191522704975,-0.0,-0.06396191522704975,5.307320683426546e-09
canonical_n5,0.005,0.02,0.0009393550725862513,0.9976580487602522,True,-0.06298651402428157,-0.0,-0.06298651402428157,5.307320683426546e-09
canonical_n5,0.005,0.05,0.0009393550725862513,0.9976580487602522,True,-0.06059178612116323,-0.0,-0.06059178612116323,5.307320683426546e-09
canonical_n5,0.005,0.1,0.0009393550725862513,0.9976580487602522,True,-0.05837215863340761,-0.0,-0.05837215863340761,5.307320683426546e-09
canonical_n5,0.005,0.2,0.0009393550725862513,0.9976580487602522,True,-0.06057634997311301,-0.0,-0.06057634997311301,5.307320683426546e-09
canonical_n5,0.005,0.4,0.0009393550725862513,0.9976580487602522,True,-0.09155851791347869,-0.0,-0.09155851791347869,5.307320683426546e-09
canonical_n5,0.005,0.6,0.0009393550725862513,0.9976580487602522,True,-0.15797239953518966,-0.0,-0.15797239953518966,5.307320683426546e-09
canonical_n5,0.005,0.8,0.0009393550725862513,0.9976580487602522,True,-0.2598179948382142,-0.0,-0.2598179948382142,5.307320683426546e-09
canonical_n5,0.005,1.0,0.0009393550725862513,0.9976580487602522,True,-0.3970953038225511,-0.0,-0.3970953038225511,5.307320683426546e-09
canonical_n5,0.01,0.0,0.001759991915049509,0.9954717032818347,True,-0.10374796601595793,-0.0,-0.10374796601595793,3.734879995542964e-08
canonical_n5,0.01,0.0001,0.001759991915049509,0.9954717032818347,True,-0.10372977452169618,-0.0,-0.10372977452169618,3.734879995542964e-08
canonical_n5,0.01,0.0005,0.001759991915049509,0.9954717032818347,True,-0.10365709187339123,-0.0,-0.10365709187339123,3.734879995542964e-08
canonical_n5,0.01,0.001,0.001759991915049509,0.9954717032818347,True,-0.1035664260527136,-0.0,-0.1035664260527136,3.734879995542964e-08
canonical_n5,0.01,0.002,0.001759991915049509,0.9954717032818347,True,-0.10338571937707597,-0.0,-0.10338571937707597,3.734879995542964e-08
canonical_n5,0.01,0.005,0.001759991915049509,0.9954717032818347,True,-0.10284859907589872,-0.0,-0.10284859907589872,3.734879995542964e-08
canonical_n5,0.01,0.01,0.001759991915049509,0.9954717032818347,True,-0.10197006432633049,-0.0,-0.10197006432633049,3.734879995542964e-08
canonical_n5,0.01,0.02,0.001759991915049509,0.9954717032818347,True,-0.10027549139866931,-0.0,-0.10027549139866931,3.734879995542964e-08
canonical_n5,0.01,0.05,0.001759991915049509,0.9954717032818347,True,-0.09569174518744017,-0.0,-0.09569174518744017,3.734879995542964e-08
canonical_n5,0.01,0.1,0.001759991915049509,0.9954717032818347,True,-0.08971874340813257,-0.0,-0.08971874340813257,3.734879995542964e-08
canonical_n5,0.01,0.2,0.001759991915049509,0.9954717032818347,True,-0.08402239699710035,-0.0,-0.08402239699710035,3.734879995542964e-08
canonical_n5,0.01,0.4,0.001759991915049509,0.9954717032818347,True,-0.09762833276549782,-0.0,-0.09762833276549782,3.734879995542964e-08
canonical_n5,0.01,0.6,0.001759991915049509,0.9954717032818347,True,-0.14456577332115184,-0.0,-0.14456577332115184,3.734879995542964e-08
canonical_n5,0.01,0.8,0.001759991915049509,0.9954717032818347,True,-0.22483471866406723,-0.0,-0.22483471866406723,3.734879995542964e-08
canonical_n5,0.01,1.0,0.001759991915049509,0.9954717032818347,True,-0.3384351687942426,-0.0,-0.3384351687942426,3.734879995542964e-08
canonical_n5,0.02,0.0,0.0033982759633602432,0.9911021139776494,True,-0.1568076973638307,-0.0,-0.1568076973638307,2.7705292747093643e-07
canonical_n5,0.02,0.0001,0.0033982759633602432,0.9911021139776494,True,-0.15677966721726866,-0.0,-0.15677966721726866,2.7705292747093643e-07
canonical_n5,0.02,0.0005,0.0033982759633602432,0.9911021139776494,True,-0.15666762689342395,-0.0,-0.15666762689342395,2.7705292747093643e-07
canonical_n5,0.02,0.001,0.0033982759633602432,0.9911021139776494,True,-0.15652775707898814,-0.0,-0.15652775707898814,2.7705292747093643e-07
canonical_n5,0.02,0.002,0.0033982759633602432,0.9911021139776494,True,-0.1562486194180146,-0.0,-0.1562486194180146,2.7705292747093643e-07
canonical_n5,0.02,0.005,0.0033982759633602432,0.9911021139776494,True,-0.1554160221783164,-0.0,-0.1554160221783164,2.7705292747093643e-07
canonical_n5,0.02,0.01,0.0033982759633602432,0.9911021139776494,True,-0.15404441258957102,-0.0,-0.15404441258957102,2.7705292747093643e-07
canonical_n5,0.02,0.02,0.0033982759633602432,0.9911021139776494,True,-0.1513613902023836,-0.0,-0.1513613902023836,2.7705292747093643e-07
canonical_n5,0.02,0.05,0.0033982759633602432,0.9911021139776494,True,-0.14379389736307224,-0.0,-0.14379389736307224,2.7705292747093643e-07
canonical_n5,0.02,0.1,0.0033982759633602432,0.9911021139776494,True,-0.13278665703855297,-0.0,-0.13278665703855297,2.7705292747093643e-07
