family,epsilon,n,delta,threshold_status,symmetric_difference,transition_count,count_over_log_n,spectral_distance_to_01,closest_to_half,eig_min,eig_max
near_symmetric_m2_least,0.01,24,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,5,1.5732899022206244,1.6233041261897705,0.52104821547401947;0.47697846294731017;0.13201628077066735;0.88462041966011262;0.89073503879687432;0.097804356398245557,0.009999999999999913,0.9898651368507897
near_symmetric_m2_least,0.01,24,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,2,0.6293159608882497,1.6233041261897705,0.52104821547401947;0.47697846294731017;0.13201628077066735;0.88462041966011262;0.89073503879687432;0.097804356398245557,0.009999999999999913,0.9898651368507897
near_symmetric_m2_least,0.002,24,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,7,2.202605863108874,1.4538886833520526,0.52139185980828917;0.4766026011178785;0.12600838331386191;0.89089993671578793;0.89711438636906815;0.091237896910869989,0.001999999999999911,0.9978629350034557
near_symmetric_m2_least,0.002,24,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.887947882664749,1.4538886833520526,0.52139185980828917;0.4766026011178785;0.12600838331386191;0.89089993671578793;0.89711438636906815;0.091237896910869989,0.001999999999999911,0.9978629350034557
near_symmetric_m2_least,0.002,24,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.887947882664749,1.4538886833520526,0.52139185980828917;0.4766026011178785;0.12600838331386191;0.89089993671578793;0.89711438636906815;0.091237896910869989,0.001999999999999911,0.9978629350034557
near_symmetric_m2_least,0.002,24,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,5,1.5732899022206244,1.4538886833520526,0.52139185980828917;0.4766026011178785;0.12600838331386191;0.89089993671578793;0.89711438636906815;0.091237896910869989,0.001999999999999911,0.9978629350034557
near_symmetric_m2_least,0.002,24,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,2,0.6293159608882497,1.4538886833520526,0.52139185980828917;0.4766026011178785;0.12600838331386191;0.89089993671578793;0.89711438636906815;0.091237896910869989,0.001999999999999911,0.9978629350034557
near_symmetric_m2_least,0.2,32,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,32,9.233248261689365,7.238369005604383,0.51859471246063582;0.57752958799553988;0.31315946481953916;0.28450643619466831;0.7356165636542491;0.76118098022384451,0.19999999999999984,0.7999984900867281
near_symmetric_m2_least,0.2,32,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,32,9.233248261689365,7.238369005604383,0.51859471246063582;0.57752958799553988;0.31315946481953916;0.28450643619466831;0.7356165636542491;0.76118098022384451,0.19999999999999984,0.7999984900867281
near_symmetric_m2_least,0.2,32,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,32,9.233248261689365,7.238369005604383,0.51859471246063582;0.57752958799553988;0.31315946481953916;0.28450643619466831;0.7356165636542491;0.76118098022384451,0.19999999999999984,0.7999984900867281
near_symmetric_m2_least,0.2,32,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,32,9.233248261689365,7.238369005604383,0.51859471246063582;0.57752958799553988;0.31315946481953916;0.28450643619466831;0.7356165636542491;0.76118098022384451,0.19999999999999984,0.7999984900867281
near_symmetric_m2_least,0.2,32,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,29,8.367631237155988,7.238369005604383,0.51859471246063582;0.57752958799553988;0.31315946481953916;0.28450643619466831;0.7356165636542491;0.76118098022384451,0.19999999999999984,0.7999984900867281
near_symmetric_m2_least,0.05,32,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,32,9.233248261689365,2.857553508406573,0.52789206869095384;0.61629438199330988;0.21973919722930879;0.17675965429200241;0.85342484548137376;0.89177147033576687,0.04999999999999975,0.9499977351300922
