family,epsilon,n,Hn_second,increment_second,Hn_second_over_n,conditional_fisher,prediction_vertical,spectral_increment,coherence_increment
near_symmetric_m3_selected,0.01,20,-0.0032729471324186975,-0.00034788270957505853,-0.00016364735662093488,-5.068977427858869e-32,-0.00034788270957505853,-0.0046161165093514395,0.004268233799776381
near_symmetric_m3_selected,0.01,21,-0.0036400133706961787,-0.0003670662382774812,-0.00017333397003315137,-5.384966682926125e-32,-0.0003670662382774812,-0.004590317271815261,0.00422325103353778
near_symmetric_m3_selected,0.01,22,-0.004026450340149497,-0.0003864369694533187,-0.00018302047000679533,-5.693392224623403e-32,-0.0003864369694533187,-0.004657581656965157,0.004271144687511838
near_symmetric_m3_selected,0.01,23,-0.004426719328638084,-0.00040026898848858695,-0.0001924660577668732,-6.645966481288324e-32,-0.00040026898848858695,-0.004942969910206506,0.004542700921717919
near_symmetric_m3_selected,0.01,24,-0.004836152719532026,-0.00040943339089394184,-0.0002015063633138344,-7.197167370743614e-32,-0.00040943339089394184,-0.0053158107674239966,0.0049063773765300545
near_symmetric_m4_meaningful,0.01,2,-5.64671690380335e-08,-5.64671690380335e-08,-2.823358451901675e-08,-7.042269781226736e-37,-5.64671690380335e-08,-0.0009652190505397771,0.0009651625833707391
near_symmetric_m4_meaningful,0.01,3,-1.9013274829638772e-07,-1.3366557925835422e-07,-6.337758276546257e-08,-8.489882497501592e-37,-1.3366557925835422e-07,-0.0009505346380721808,0.0009504009724929225
near_symmetric_m4_meaningful,0.01,4,-6.697847326404943e-06,-6.5077145781085554e-06,-1.6744618316012358e-06,-4.3708252295170587e-35,-6.5077145781085554e-06,-0.001589615788074893,0.0015831080734967846
near_symmetric_m4_meaningful,0.01,5,-1.6402246070949143e-05,-9.7043987445442e-06,-3.2804492141898285e-06,-7.675942900374506e-35,-9.7043987445442e-06,-0.0010902884703892154,0.0010805840716446712
near_symmetric_m4_meaningful,0.01,6,-4.703543192922204e-05,-3.06331858582729e-05,-7.83923865487034e-06,-3.7701357547330375e-34,-3.06331858582729e-05,-0.00169201830433445,0.001661385118476177
near_symmetric_m4_meaningful,0.01,7,-7.83484512142868e-05,-3.1313019285064766e-05,-1.1192635887755258e-05,-3.87859836122061e-34,-3.1313019285064766e-05,-0.0017516372718645555,0.0017203242525794908
near_symmetric_m4_meaningful,0.01,8,-0.0001188033009750005,-4.04548497607137e-05,-1.4850412621875063e-05,-4.161050213765322e-34,-4.04548497607137e-05,-0.001941590692475681,0.0019011358427149672
near_symmetric_m4_meaningful,0.01,9,-0.00017306703149018267,-5.4263730515182165e-05,-1.9229670165575854e-05,-7.494050861575602e-34,-5.4263730515182165e-05,-0.0023394180193411426,0.0022851542888259603
near_symmetric_m4_meaningful,0.01,10,-0.0002728766949729943,-9.980966348281164e-05,-2.728766949729943e-05,-2.3357014321114346e-32,-9.980966348281164e-05,-0.0028087619964435543,0.0027089523329607425
near_symmetric_m4_meaningful,0.01,11,-0.00037256383986636126,-9.968714489336691e-05,-3.386943998785102e-05,-2.423370812733365e-32,-9.968714489336691e-05,-0.002963529354057073,0.002863842209163706
near_symmetric_m4_meaningful,0.01,12,-0.00047970374056569904,-0.00010713990069933776,-3.997531171380825e-05,-2.534983150933243e-32,-0.00010713990069933776,-0.003081094724764668,0.0029739548240653303
near_symmetric_m4_meaningful,0.01,13,-0.00064173942443504,-0.00016203568386934097,-4.936457111038769e-05,-2.7183754962265786e-32,-0.00016203568386934097,-0.0036440530476246798,0.003482017363755339
near_symmetric_m4_meaningful,0.01,14,-0.0008374204640722345,-0.00019568103963719455,-5.981574743373103e-05,-4.5287131344722655e-32,-0.00019568103963719455,-0.003871156183286293,0.0036754751436490984
near_symmetric_m4_meaningful,0.01,15,-0.0010366993498060002,-0.00019927888573376565,-6.911328998706668e-05,-4.658974909858469e-32,-0.00019927888573376565,-0.004094974222223019,0.0038956953364892534
near_symmetric_m4_meaningful,0.01,16,-0.0012410430734245078,-0.0002043437236185077,-7.756519208903174e-05,-4.75358700728965e-32,-0.0002043437236185077,-0.004169787084038243,0.003965443360419735
near_symmetric_m4_meaningful,0.01,17,-0.0015097142925527302,-0.0002686712191282224,-8.880672309133707e-05,-4.928607890663539e-32,-0.0002686712191282224,-0.004791689252112291,0.004523018032984069
near_symmetric_m4_meaningful,0.01,18,-0.0018050766397405492,-0.0002953623471878191,-0.00010028203554114163,-6.261430668122958e-32,-0.0002953623471878191,-0.00502063127674944,0.004725268929561622
near_symmetric_m4_meaningful,0.01,19,-0.0021097918962192245,-0.00030471525647867505,-0.00011104167874838024,-6.659804761361365e-32,-0.00030471525647867505,-0.005270356659818058,0.004965641403339383
near_symmetric_m4_meaningful,0.01,20,-0.002419319207498617,-0.00030952731127939265,-0.00012096596037493084,-6.827313361628889e-32,-0.00030952731127939265,-0.00537179561034281,0.005062268299063417
near_symmetric_m4_meaningful,0.01,21,-0.0027782684371519296,-0.000358949229653313,-0.00013229849700723475,-6.999043071000613e-32,-0.000358949229653313,-0.0058667282344588845,0.005507779004805572
near_symmetric_m4_meaningful,0.01,22,-0.003161575559055084,-0.00038330712190315456,-0.0001437079799570493,-7.896207894694022e-32,-0.00038330712190315456,-0.006191529316347366,0.005808222194444212
near_symmetric_m4_meaningful,0.01,23,-0.0035548988401170266,-0.0003933232810619426,-0.0001545608191355229,-8.555973699641522e-32,-0.0003933232810619426,-0.00637873990293758,0.005985416621875637
