family,epsilon,delta,n_min,n_max,points,slope_vs_log_n,intercept,r_squared_diagnostic,max_abs_residual,linear_plus_log_linear_coefficient,linear_plus_log_log_coefficient,linear_plus_log_constant,linear_plus_log_max_abs_residual,symbol_half_level_measure,semantics
near_symmetric_m3_selected,0.01,0.02,64,2048,11,10.399301774800643,-35.63938365876355,0.905619262956989,7.348669903817438,0.014117123388087188,3.094584770416353,-1.400161630033801,1.1328299222274083,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.01,0.05,64,2048,11,9.483904475157935,-35.312495609381266,0.8917257915561341,7.001337485169991,0.013924763455130901,2.2787215496791,-1.5398172434687778,0.8858946585058014,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.01,0.1,64,2048,11,8.659588224209315,-33.706490741618,0.8440182659124843,8.680429954989307,0.01576699541098469,0.5011669707789603,4.534278412402754,0.664589471444355,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.01,0.2,64,2048,11,8.58621597941655,-36.90859928659109,0.8425560438072958,8.44197391066644,0.01554970466469233,0.5402289213745058,0.805159802945104,1.369045847471944,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.05,0.01,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.05,0.02,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.05,0.05,64,2048,11,271.32996609344667,-1243.6899873721131,0.8464278937009933,260.9023763820337,0.49219906755553144,16.64813046190612,-49.92602476562698,3.063659955815524,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.05,0.1,64,2048,11,9.103168555476916,-34.2409206714479,0.870583993108145,7.832728869149385,0.014768463719339075,1.461424193426257,1.5780414789003738,1.0970174465214573,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.05,0.2,64,2048,11,8.358810745126297,-34.7445150624202,0.8381662258761028,8.01176795341705,0.015349374406122503,0.4164819045581205,2.483369390075318,1.4688721193498804,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.2,0.01,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.2,0.02,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.2,0.05,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.2,0.1,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.2,0.2,64,2048,11,279.4967892120854,-1283.116401663547,0.8454753274623549,270.0598760664893,0.5088315800830218,16.208682051621402,-49.01247221899111,4.375682834418285,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.002,0.01,64,2048,11,16.737759794124575,-61.33549180446257,0.9127620516353526,11.71645069240492,0.021961071971364633,5.374296328252666,-8.07180638176602,0.815459262522662,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.002,0.02,64,2048,11,15.982766621350954,-60.32159513667606,0.8456107595505168,14.459089304168863,0.028851756855057288,1.0538102673004972,9.654538224377331,1.5393175888041029,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.002,0.05,64,2048,11,15.602138230886762,-62.432474794371174,0.8724985315964774,13.472115414468561,0.025076893269842606,2.626434636773041,-1.611775502230125,2.341607180139251,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.002,0.1,64,2048,11,14.07778994394923,-58.22877093187462,0.8571974151759957,12.890986442075473,0.02437812242728887,1.4636559922796255,0.8971517852037558,0.9680444272918365,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.002,0.2,64,2048,11,13.406804378391369,-58.53025677787379,0.835152062265569,13.308481570666004,0.02517632386036464,0.379651752815947,2.531598305836329,1.6385301795615828,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.01,0.01,64,2048,11,291.54472348878323,-1331.9677950578368,0.8487244371552675,278.05036103066845,0.5241811170567675,20.31420336930502,-60.63558687444295,3.4674749333368027,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.01,0.02,64,2048,11,16.62157391240038,-61.73875244153281,0.8934492212485735,13.00558440919312,0.02427680206828607,4.059866827660546,-2.8585689003871586,1.3774606036491228,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.01,0.05,64,2048,11,15.287593585303359,-59.570836048002946,0.8821527769392529,13.00875974481032,0.023551287321095186,3.1012944193757153,-2.450292897558135,1.623404674744453,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.01,0.1,64,2048,11,14.187497159085007,-58.69625708672417,0.860678526489395,12.521996881482089,0.02423442422114038,1.6477179255188226,0.08114457190681423,0.8220718867670413,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.01,0.2,64,2048,11,13.61974014207451,-59.3359758794927,0.836452264673797,13.49064660567408,0.025480534428972964,0.4351778196126911,2.463701841005884,1.3998568844770531,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.05,0.01,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.05,0.02,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.05,0.05,64,2048,11,289.7864913009671,-1323.4707537630895,0.8490340617893086,275.9591702572204,0.5204054682732284,20.509630231814572,-61.29588404364843,2.4147058314532046,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.05,0.1,64,2048,11,15.44567574141861,-62.14281207219706,0.8660572849746919,13.375419560115091,0.025551672594586225,2.2243039250017964,-0.17059810757926763,1.8924059447916743,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.05,0.2,64,2048,11,13.787432768855567,-58.41937712017868,0.8429591978957338,13.295455460366284,0.025263529322554667,0.7151568412431164,2.8539833177002447,1.007725516863566,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.2,0.01,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.2,0.02,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.2,0.05,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.2,0.1,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m4_meaningful,0.2,0.2,64,2048,11,295.25063846171577,-1349.1740538696604,0.8496328150574658,279.00043017877806,0.528984456089747,21.53469469412834,-66.19197998003986,2.0050207796276425,0.02545166015625,deterministic least-squares diagnostic; not a confidence interval
